StockUnit{open=12,8095, high=12,8095, low=12,8095, close=12,8095, adjustedClose=0,0, volume=47122819,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:03.149, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8095, high=12,8095, low=12,8095, close=12,8095, adjustedClose=0,0, volume=47122819,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:03.149, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,7800, high=12,7800, low=12,7800, close=12,7800, adjustedClose=0,0, volume=47125284,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:15.050, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,7800, high=12,7800, low=12,7800, close=12,7800, adjustedClose=0,0, volume=47125284,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:15.050, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8200, high=12,8200, low=12,8200, close=12,8200, adjustedClose=0,0, volume=47125500,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:25.074, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8200, high=12,8200, low=12,8200, close=12,8200, adjustedClose=0,0, volume=47125500,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:25.074, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8200, high=12,8200, low=12,8200, close=12,8200, adjustedClose=0,0, volume=47125796,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:34.463, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8200, high=12,8200, low=12,8200, close=12,8200, adjustedClose=0,0, volume=47125796,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:34.463, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8300, high=12,8300, low=12,8300, close=12,8300, adjustedClose=0,0, volume=47128584,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:44.208, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8300, high=12,8300, low=12,8300, close=12,8300, adjustedClose=0,0, volume=47128584,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:44.208, symbol=RGTI, percentageChange=0,0, target=0},
