[
StockUnit{open=137.98, high=138.0, low=137.98, close=137.995, adjustedClose=0.0, volume=1686, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:23:00}, 
StockUnit{open=137.9999, high=138.02, low=137.98, close=137.99, adjustedClose=0.0, volume=4780, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:22:00}, 
StockUnit{open=138.0, high=138.0, low=137.98, close=138.0, adjustedClose=0.0, volume=879, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:21:00}, 
StockUnit{open=137.99, high=138.0, low=137.98, close=137.99, adjustedClose=0.0, volume=4169, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:20:00}, 
StockUnit{open=137.9997, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=3382, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:19:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=382, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:18:00}, 
StockUnit{open=137.98, high=138.0, low=137.98, close=138.0, adjustedClose=0.0, volume=5945, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:17:00}, 
StockUnit{open=137.985, high=138.0, low=137.98, close=138.0, adjustedClose=0.0, volume=529, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:16:00}, 
StockUnit{open=137.98, high=138.0, low=137.98, close=138.0, adjustedClose=0.0, volume=2835, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:15:00}, 
StockUnit{open=137.99, high=138.0, low=137.98, close=138.0, adjustedClose=0.0, volume=1899, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:14:00}, 
StockUnit{open=137.96, high=138.0, low=137.94, close=137.99, adjustedClose=0.0, volume=2987, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:13:00}, 
StockUnit{open=137.945, high=137.96, low=137.94, close=137.94, adjustedClose=0.0, volume=613, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:12:00}, 
StockUnit{open=137.945, high=137.95, low=137.94, close=137.95, adjustedClose=0.0, volume=2934, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:11:00}, 
StockUnit{open=137.95, high=137.95, low=137.94, close=137.95, adjustedClose=0.0, volume=2017, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:10:00}, 
StockUnit{open=137.95, high=137.96, low=137.94, close=137.945, adjustedClose=0.0, volume=1138, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:09:00}, 
StockUnit{open=137.94, high=137.95, low=137.93, close=137.945, adjustedClose=0.0, volume=2422, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:08:00}, 
StockUnit{open=137.95, high=137.95, low=137.93, close=137.935, adjustedClose=0.0, volume=1171, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:07:00}, 
