StockUnit{open=39,5476, high=39,5476, low=39,5476, close=39,5476, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:02:41.058, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,5264, high=39,5264, low=39,5264, close=39,5264, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:02:50.967, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,5264, high=39,5264, low=39,5264, close=39,5264, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:02:50.967, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,5300, high=39,5300, low=39,5300, close=39,5300, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:00.247, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,5300, high=39,5300, low=39,5300, close=39,5300, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:00.247, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4300, high=39,4300, low=39,4300, close=39,4300, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:07.841, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4300, high=39,4300, low=39,4300, close=39,4300, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:07.841, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,5200, high=39,5200, low=39,5200, close=39,5200, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:19.711, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,5200, high=39,5200, low=39,5200, close=39,5200, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:19.711, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4700, high=39,4700, low=39,4700, close=39,4700, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:25.646, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4700, high=39,4700, low=39,4700, close=39,4700, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:25.646, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4200, high=39,4200, low=39,4200, close=39,4200, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:40.086, symbol=IONQ, percentageChange=0,0, target=0},
