[
StockUnit{open=320.72, high=320.73, low=320.72, close=320.725, adjustedClose=0.0, volume=5627, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:23:00}, 
StockUnit{open=320.7, high=320.73, low=320.7, close=320.72, adjustedClose=0.0, volume=1580, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:22:00}, 
StockUnit{open=320.6991, high=320.72, low=320.65, close=320.72, adjustedClose=0.0, volume=1139, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:21:00}, 
StockUnit{open=320.65, high=320.72, low=320.65, close=320.6983, adjustedClose=0.0, volume=588, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:20:00}, 
StockUnit{open=320.65, high=320.7, low=320.65, close=320.65, adjustedClose=0.0, volume=2628, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:19:00}, 
StockUnit{open=320.71, high=320.72, low=320.65, close=320.69, adjustedClose=0.0, volume=2025, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:18:00}, 
StockUnit{open=320.71, high=320.72, low=320.65, close=320.71, adjustedClose=0.0, volume=3257, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:17:00}, 
StockUnit{open=320.64, high=320.71, low=320.6, close=320.7, adjustedClose=0.0, volume=1403, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:16:00}, 
StockUnit{open=320.635, high=320.68, low=320.6, close=320.6, adjustedClose=0.0, volume=768, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:15:00}, 
StockUnit{open=320.6, high=320.67, low=320.56, close=320.67, adjustedClose=0.0, volume=2916, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:14:00}, 
StockUnit{open=320.69, high=320.69, low=320.55, close=320.6, adjustedClose=0.0, volume=1503, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:13:00}, 
StockUnit{open=320.55, high=320.67, low=320.5, close=320.61, adjustedClose=0.0, volume=2104, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:12:00}, 
StockUnit{open=320.53, high=320.63, low=320.47, close=320.525, adjustedClose=0.0, volume=1578, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:11:00}, 
StockUnit{open=320.59, high=320.6, low=320.47, close=320.53, adjustedClose=0.0, volume=1156, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:10:00}, 
StockUnit{open=320.455, high=320.72, low=320.41, close=320.47, adjustedClose=0.0, volume=44043, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:09:00}, 
StockUnit{open=320.47, high=320.55, low=320.4, close=320.5, adjustedClose=0.0, volume=945, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:08:00}, 
StockUnit{open=320.42, high=320.55, low=320.4, close=320.475, adjustedClose=0.0, volume=1230, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:07:00}, 
StockUnit{open=320.4, high=320.44, low=320.36, close=320.4, adjustedClose=0.0, volume=273, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:06:00}, 
StockUnit{open=320.47, high=320.49, low=320.36, close=320.36, adjustedClose=0.0, volume=416, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:05:00}, 
StockUnit{open=320.42, high=320.49, low=320.35, close=320.425, adjustedClose=0.0, volume=842, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:04:00}, 
StockUnit{open=320.35, high=320.49, low=320.35, close=320.42, adjustedClose=0.0, volume=566, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:03:00}, 
StockUnit{open=320.3, high=320.4, low=320.21, close=320.3999, adjustedClose=0.0, volume=3454, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:02:00}, 
StockUnit{open=320.34, high=320.4, low=320.28, close=320.29, adjustedClose=0.0, volume=698, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:01:00}, 
StockUnit{open=320.5, high=320.5, low=320.28, close=320.39, adjustedClose=0.0, volume=1666, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 19:00:00}, 
