StockUnit{open=16,3700, high=16,3700, low=16,3700, close=16,3700, adjustedClose=0,0, volume=66361099,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:45:56.552, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3200, high=16,3200, low=16,3200, close=16,3200, adjustedClose=0,0, volume=66363830,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:09.089, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3200, high=16,3200, low=16,3200, close=16,3200, adjustedClose=0,0, volume=66363830,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:09.089, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66367090,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:15.821, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66367090,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:15.821, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3400, high=16,3400, low=16,3400, close=16,3400, adjustedClose=0,0, volume=66367798,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:30.142, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3400, high=16,3400, low=16,3400, close=16,3400, adjustedClose=0,0, volume=66367798,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:30.142, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3489, high=16,3489, low=16,3489, close=16,3489, adjustedClose=0,0, volume=66368750,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:38.182, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3489, high=16,3489, low=16,3489, close=16,3489, adjustedClose=0,0, volume=66368750,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:38.182, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3489, high=16,3489, low=16,3489, close=16,3489, adjustedClose=0,0, volume=66368750,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:38.182, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3489, high=16,3489, low=16,3489, close=16,3489, adjustedClose=0,0, volume=66368750,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:38.182, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3489, high=16,3489, low=16,3489, close=16,3489, adjustedClose=0,0, volume=66368750,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:38.182, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3489, high=16,3489, low=16,3489, close=16,3489, adjustedClose=0,0, volume=66368750,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:38.182, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3002, high=16,3002, low=16,3002, close=16,3002, adjustedClose=0,0, volume=66374409,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:09.300, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3002, high=16,3002, low=16,3002, close=16,3002, adjustedClose=0,0, volume=66374409,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:09.300, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3400, high=16,3400, low=16,3400, close=16,3400, adjustedClose=0,0, volume=66375871,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:11.521, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3400, high=16,3400, low=16,3400, close=16,3400, adjustedClose=0,0, volume=66375871,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:11.521, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66376420,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:29.434, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66376420,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:29.434, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66377022,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:38.890, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66377022,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:38.890, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3800, high=16,3800, low=16,3800, close=16,3800, adjustedClose=0,0, volume=66377025,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:43.920, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3800, high=16,3800, low=16,3800, close=16,3800, adjustedClose=0,0, volume=66377025,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:43.920, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3700, high=16,3700, low=16,3700, close=16,3700, adjustedClose=0,0, volume=66377126,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:52.932, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3700, high=16,3700, low=16,3700, close=16,3700, adjustedClose=0,0, volume=66377126,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:52.932, symbol=QBTS, percentageChange=0,0, target=0},
