StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39627192,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:45:54.492, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39627277,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:06.321, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39627277,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:06.321, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39627277,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:06.321, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629277,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:10.702, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629277,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:10.702, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629277,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:10.702, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629277,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:10.702, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629277,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:10.702, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629277,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:10.702, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629588,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:50.753, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629588,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:50.753, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39629595,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:55.878, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39629595,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:55.878, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629635,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:13.308, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629635,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:13.308, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629635,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:13.308, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629635,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:13.308, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629635,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:13.308, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629635,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:13.308, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39629635,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:13.308, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39629645,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:45.616, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39629645,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:45.616, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39629645,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:45.616, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39629645,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:45.616, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39629663,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:09.171, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4400, high=12,4400, low=12,4400, close=12,4400, adjustedClose=0,0, volume=39629663,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:09.171, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629851,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:11.873, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629851,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:11.873, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629851,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:11.873, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629851,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:11.873, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629851,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:11.873, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4600, high=12,4600, low=12,4600, close=12,4600, adjustedClose=0,0, volume=39629856,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:34.462, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4600, high=12,4600, low=12,4600, close=12,4600, adjustedClose=0,0, volume=39629856,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:34.462, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4600, high=12,4600, low=12,4600, close=12,4600, adjustedClose=0,0, volume=39629856,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:34.462, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4600, high=12,4600, low=12,4600, close=12,4600, adjustedClose=0,0, volume=39629856,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:34.462, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629940,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:03.857, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629940,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:03.857, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629940,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:03.857, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629940,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:03.857, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629940,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:03.857, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629940,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:03.857, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39629940,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:03.857, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4700, high=12,4700, low=12,4700, close=12,4700, adjustedClose=0,0, volume=39629942,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:33.105, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4700, high=12,4700, low=12,4700, close=12,4700, adjustedClose=0,0, volume=39629942,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:33.105, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4700, high=12,4700, low=12,4700, close=12,4700, adjustedClose=0,0, volume=39629942,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:33.105, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4700, high=12,4700, low=12,4700, close=12,4700, adjustedClose=0,0, volume=39629942,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:33.105, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4700, high=12,4700, low=12,4700, close=12,4700, adjustedClose=0,0, volume=39629942,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:33.105, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4700, high=12,4700, low=12,4700, close=12,4700, adjustedClose=0,0, volume=39629942,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:33.105, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4700, high=12,4700, low=12,4700, close=12,4700, adjustedClose=0,0, volume=39630948,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:04.053, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4700, high=12,4700, low=12,4700, close=12,4700, adjustedClose=0,0, volume=39630948,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:04.053, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4000, high=12,4000, low=12,4000, close=12,4000, adjustedClose=0,0, volume=39632168,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:14.586, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4000, high=12,4000, low=12,4000, close=12,4000, adjustedClose=0,0, volume=39632168,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:14.586, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4000, high=12,4000, low=12,4000, close=12,4000, adjustedClose=0,0, volume=39632168,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:14.586, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4000, high=12,4000, low=12,4000, close=12,4000, adjustedClose=0,0, volume=39632168,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:14.586, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4000, high=12,4000, low=12,4000, close=12,4000, adjustedClose=0,0, volume=39632655,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:39.148, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4000, high=12,4000, low=12,4000, close=12,4000, adjustedClose=0,0, volume=39632655,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:39.148, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39632682,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:44.291, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4500, high=12,4500, low=12,4500, close=12,4500, adjustedClose=0,0, volume=39632682,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:44.291, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39632762,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:51.550, symbol=QUBT, percentageChange=0,0, target=0},
