StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192757733,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:44:53.887, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192757733,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:44:53.887, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192757733,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:44:53.887, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192757733,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:44:53.887, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192757735,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:44:59.713, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192757735,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:44:59.713, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192757735,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:44:59.713, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192757735,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:44:59.713, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192757735,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:44:59.713, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192757735,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:44:59.713, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758757,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:07.253, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758757,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:07.253, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758757,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:07.253, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758757,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:07.253, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758757,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:07.253, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758757,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:07.253, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758803,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:14.671, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758803,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:14.671, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758803,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:14.671, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758803,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:14.671, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758803,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:14.671, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758803,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:14.671, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758820,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:20.008, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758820,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:20.008, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758820,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:20.008, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758820,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:20.008, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758820,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:20.008, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192758820,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:20.008, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192759329,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:26.493, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192759329,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:26.493, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192759329,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:26.493, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192759329,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:26.493, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192759329,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:26.493, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192759329,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:26.493, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760241,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:32.471, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760241,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:32.471, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760241,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:32.471, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760241,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:32.471, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760241,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:32.471, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760241,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:32.471, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760844,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:38.508, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760844,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:38.508, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760844,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:38.508, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760844,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:38.508, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760844,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:38.508, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760844,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:38.508, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760877,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:43.701, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760877,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:43.701, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760877,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:43.701, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760877,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:43.701, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192760877,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:43.701, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761128,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:49.294, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761128,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:49.294, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761128,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:49.294, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761128,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:49.294, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761128,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:49.294, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761128,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:49.294, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761289,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:54.568, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761289,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:54.568, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761289,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:54.568, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761289,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:54.568, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761289,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:54.568, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761289,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:54.568, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761358,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:59.259, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761358,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:59.259, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761358,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:59.259, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761358,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:59.259, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761358,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:59.259, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761358,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:45:59.259, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761634,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:06.482, symbol=NVDA, percentageChange=0,0, target=0},
